info,job_position_info,name,position
"
本科以上 , 全职 , 0.5-1万/月
",,"
厂务水系统值班工程师
","
合肥
"
"
应届毕业生 , 实习 , 5-8千/月
",,"
软件工程师
","
合肥
"
"
硕士以上 , 实习 , 6-8千/月
",,"
PE30-薄膜研发工程师
","
合肥
"
"
实习 , 6-8千/月
",,"
模型工程师
","
合肥
"
"
实习 , 6-8千/月
",,"
PC10-大数据分析工程师
","
合肥
"
"
实习 , 6-8千/月
",,"
技术开发工程师
","
合肥
"
"
本科以上 , 10年以上经验 , 全职 , 1-1.5万/月
",,"
市场行销技术经理
","
合肥
"
"
本科以上 , 2年经验 , 全职 , 0.6-1万/月
",,"
市场行销资深工程师
","
合肥
"
"
本科以上 , 全职 , 5-6.5千/月
",,"
党务专员
","
合肥
"
"
本科以上 , 3-4年经验 , 全职 , 0.8-1万/月
",,"
资深Web前端工程师
","
合肥
"
"
本科以上 , 3-4年经验 , 全职 , 0.8-1.5万/月
",,"
系统管理工程师
","
合肥
"
"
本科以上 , 3-4年经验 , 全职 , 0.8-1.5万/月
",,"
网络系统工程师
","
合肥
"
"
本科以上 , 5-7年经验 , 全职 , 1-1.5万/月
",,"
信息安全技术主管
","
合肥
"
"
实习 , 6-8千/月
",,"
客户服务工程师
","
合肥
"
"
本科以上 , 3-4年经验 , 全职 , 0.8-1.5万/月
",,"
网络信息工程师
","
合肥
"
"
本科以上 , 全职 , 4.5-6千/月
",,"
百度销售
","
马鞍山
"
"
本科以上 , 应届毕业生 , 全职 , 0.8-1万/月
",,"
百度推广顾问
","
黄山
"
"
大专以上 , 全职 , 1-3万/月
",,"
KA大客户销售经理
","
黄山
"
"
本科以上 , 全职 , 0.5-1万/月
",,"
百度营销方案策划师
","
合肥
"
"
本科以上 , 1-3年 , 全职 , 6K-8K
",,"
百度运营主管
","
合肥
"
"
本科以上 , 全职 , 0.5-1万/月
",,"
百度SEM顾问
","
马鞍山
"
"
本科以上 , 1年经验 , 全职 , 3-4.5千/月
",,"
人事主管
","
淮南
"
"
本科以上 , 全职 , 3.5-6千/月
",,"
人事专员
","
马鞍山
"
"
大专以上 , 应届毕业生 , 全职 , 4000-7000元
",,"
百度推广专员
","
蚌埠
"
"
本科以上 , 全职 , 0.8-1万/月
",,"
百度KA大客户销售
","
合肥
"
"
本科以上 , 全职 , 0.6-1万/月
",,"
产品运营经理 管理岗
","
合肥
"
"
大专以上 , 1年经验 , 全职 , 4.5-6千/月
",,"
销售经理助理
","
池州
"
"
本科以上 , 全职 , 4.5-6千/月
",,"
百度AI运营
","
合肥
"
"
本科以上 , 全职 , 5-8千/月
",,"
百度网站增值客服
","
宣城
"
"
大专以上 , 1年经验 , 全职 , 4-6千/月
",,"
网络客服专员
","
池州
"
"
本科以上 , 3年以上 , 全职 , 9.6-19.2万元
",,"
Java开发工程师-消费者事业群-合肥
","
合肥
"
"
本科以上 , 3年以上 , 全职 , 12.0-24.0万元
",,"
产品经理-消费者事业群-合肥
","
合肥
"
"
本科以上 , 3年以上 , 全职 , 15.6-30.0万元
",,"
Android开发工程师
","
北京
"
"
本科以上 , 3年以上 , 全职 , 9.6-12.0万元
",,"
客户经理-川藏区
","
成都
"
"
本科以上 , 3年以上 , 全职 , 19.2-36.0万元
",,"
前端开发工程师
","
北京
"
"
本科以上 , 全职 , 1.5-3万/月
",,"
区域销售经理
","
广州
"
"
本科以上 , 3-4年经验 , 全职 , 1-2万/月
",,"
销售经理
","
广州
"
"
全职 , 1.5-2万/月
",,"
系统研发工程师-硬件中心-合肥
","
合肥
"
"
本科以上 , 5年以上 , 全职
",,"
售前咨询-政法事业群-昆明
","
昆明
"
"
本科以上 , 3年以上 , 全职 , 20.4-30.0万元
",,"
客户经理-智能汽车
","
合肥
"
"
本科以上 , 3-5年 , 全职 , 15000-25000元
",,"
产品经理-技术中心-合肥 武汉
","
合肥
"
"
3-5年 , 全职 , 15000-25000元
",,"
软件开发工程师-技术中心-合肥
","
合肥
"
"
本科以上 , 3-5年 , 全职 , 15000-25000元
",,"
软件开发工程师-技术中心-合肥 武汉
","
合肥
"
"
本科以上 , 5-10年 , 全职 , 20000-35000元
",,"
系统架构师-技术中心-合肥
","
合肥
"
"
3-5年 , 全职 , 20000-30000元
",,"
安全工程师-技术中心-合肥
","
合肥
"
"
大专以上 , 全职 , 4500-5999
",,"
材料员
","
合肥
"
"
大专以上 , 二年以上 , 全职 , 5000～8000 元/月
",,"
现场技术员
","
合肥
"
"
本科以上 , 全职 , 5000～8000 元/月
",,"
人力资源管理专员
","
上海
"
"
本科以上 , 全职 , 6000-7999
",,"
BIM工程师
","
合肥
"
"
本科以上 , 全职 , 10000-14999
",,"
BIM工程师
","
贵阳
"
"
二年以上 , 全职 , 3000～6000 元/月
",,"
测量员
","
镇江
"
"
二年以上 , 全职 , 3000～6000 元/月
",,"
测量员
","
南京
"
"
大专以上 , 全职 , 4500-5999
",,"
测量员
","
苏州
"
"
大专以上 , 全职 , 4500-5999
",,"
测量员
","
无锡
"
"
大专以上 , 全职 , 4500-5999
",,"
测量员
","
上海
"
"
本科以上 , 全职 , 10000-14999
",,"
技术总工
","
南京
"
